Original_Item_Name,Normalised_Item_Name,Source_Type,Source_File,SKU_ID,Unique_SKU_Name,Mapping_Confidence,Review_Flag,Mapping_Reason
"Paddy Sampurna","paddy sampurna","Purchase/Godown Stock","Tally:Telangana/U.P","PAD019","Paddy Sampurna — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 3 row(s), 15,970 KGS, ₹4,79,100"
"Paddy Prasanna","paddy prasanna","Purchase/Godown Stock","Tally:Telangana/U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD025 Paddy — Not Available (50%); PAC013 Paddy Sharbati Cylinder (38%); PAC015 Poly Pouch-Mumtaj Hybrid Paddy (31%) | impact: 3 row(s), 15,945 KGS, ₹4,78,350"
"Paddy Superdamini (6kg*pc)","paddy superdamini (6kg x pc)","Sales/Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAC011 Paddy Pouch 6kg Blue — 6 Kg (50%); PAC012 Paddy Pouch 6kg Green — 6 Kg (50%); PAD025 Paddy — Not Available (38%) | impact: 2 row(s), 10,140 KGS, ₹4,71,611"
"Paddy 1509 (6kg*5pc)","paddy 1509 (6kg x 5pc)","Sales/Purchase/Godown Stock","Tally:Telangana","PAD001","Paddy 1509 — 6 Kg × 4 Pc","High","No","AUTO-SUGGESTED 88% (variety matched). VERIFY PACK SIZE before accepting. | impact: 3 row(s), 7,794 KGS, ₹4,67,034"
"Maize Foundation (Female)","maize foundation (female)","Purchase/Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAI002 Maize Bulk (38%); MAI016 Maize — Not Available (38%); PAD003 Paddy 1692 Foundation — Not Available (30%) | impact: 2 row(s), 1,600 KGS, ₹4,00,000"
"Maize(Sultan-8199)1 Kg*40 Pc.","maize(sultan-8199)1 kg x 40 pc.","Sales/Sales Return/Godown Stock","Tally:U.P","MAI012","Maize Sultan 8199 — 1 Kg × 40 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 12 row(s), 2,981 KGS, ₹3,86,677.42"
"Printed Laminted Pouch Paddy 3Kg","printed laminted pouch paddy 3kg","Purchase/Godown Stock","Tally:Telangana","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAC011 Paddy Pouch 6kg Blue — 6 Kg (38%); PAC012 Paddy Pouch 6kg Green — 6 Kg (38%); PAC015 Poly Pouch-Mumtaj Hybrid Paddy (38%) | impact: 3 row(s), 22,210 NOS, ₹3,66,249.39"
"HYBRID BAJRA SEED VARIETY - 0107","hybrid bajra seed variety - 0107","Sales/Purchase/Godown Stock","Tally:U.P/Telangana","BAJ004","Bajra — Not Available","High","No","AUTO-SUGGESTED 75% (variety matched). VERIFY PACK SIZE before accepting. | impact: 5 row(s), 2,526 KGS, ₹3,51,956"
"Paddy (1509)","paddy (1509)","Purchase/Godown Stock","Tally:Telangana/U.P","","","Low","Yes","NEEDS REVIEW — variety uncertain. Candidates: PAD001 Paddy 1509 — 6 Kg × 4 Pc (75%); PAD002 Paddy 1509 — Not Available (75%); PAD025 Paddy — Not Available (75%) | impact: 3 row(s), 9,840 KGS, ₹3,45,450"
"Paddy Pouch 6Kg Blue","paddy pouch 6kg blue","Sales/Purchase/Godown Stock","Tally:Telangana/U.P","PAC011","Paddy Pouch 6kg Blue — 6 Kg","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 5 row(s), 22,285 NOS, ₹3,00,847.5"
"Paddy-PB (1847)6 Kg*5 Pc.","paddy-pb (1847)6 kg x 5 pc.","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD015 Paddy PB 1509 — 6 Kg × 5 Pc (70%); PAD016 Paddy PB 1692 — 6 Kg × 5 Pc (70%); PAD022 Paddy Sugandha 5 — 6 Kg × 5 Pc (70%) | impact: 8 row(s), 2,880 KGS, ₹3,00,600"
"Matar-Vm-10 1 Kg*30 Pc","matar-vm-10 1 kg x 30 pc","Sales/Sales Return/Godown Stock","Tally:U.P","MAT002","Matar VM 10 — 1 Kg × 30 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 7 row(s), 585 KGS, ₹2,35,100"
"Maize(Hy.Sultan-8199) 1kg*32 Pc.","maize(hy.sultan-8199) 1kg x 32 pc.","Sales/Godown Stock","Tally:U.P","MAI007","Maize Hy.sultan 8199 — 1 Kg × 32 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 818 KGS, ₹2,29,056.79"
"Paddy PB 1718 (6 Kg* 5 Pc)","paddy pb 1718 (6 kg x 5 pc)","Sales/Purchase/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: PAD015 Paddy PB 1509 — 6 Kg × 5 Pc (70%); PAD016 Paddy PB 1692 — 6 Kg × 5 Pc (70%); PAD022 Paddy Sugandha 5 — 6 Kg × 5 Pc (70%) | impact: 12 row(s), 3,290 KGS, ₹2,01,721"
"Urad Shekhar-2(Bhura) 3kg*10 Pkt","urad shekhar-2(bhura) 3kg x 10 pkt","Sales/Sales Return/Godown Stock","Tally:U.P","","","Low","Yes","NO MATCHING VARIETY IN SKU_Master — likely needs a NEW master SKU row, not a mapping. Nearest by crop/pack: MAT002 Matar VM 10 — 1 Kg × 30 Pc (30%) | impact: 9 row(s), 1,014 KGS, ₹1,85,890"
"Maize(Hy.Sultan-8199)4 Kg*8 Pc","maize(hy.sultan-8199)4 kg x 8 pc","Sales/Godown Stock","Tally:U.P","MAI009","Maize Hy.sultan 8199 — 4 Kg × 8 Pc","High","No","AUTO-SUGGESTED 100% (variety matched). VERIFY PACK SIZE before accepting. | impact: 2 row(s), 1,272 KGS, ₹1,82,342.18"
