voucher_id,page,date,date_original,party,vch_type,vch_no,primary_ledger,credit_amount,agst_refs,narration
22,4,45801,2025-05-24 00:00:00.000,"12300 Maurya Brothers Khad Beej Bhandar","Credit Note","VAS 25-26/CN 22","Sales",2200,"Agst Ref 24 2,200.00 Cr","Being freight of paddy (challan no.663) stock is credited."
23,4,45803,2025-05-26 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN 23","Sales",10000,"Agst Ref 14 10,000.00 Cr","Being freight of paddy stock supply is credited."
28,4,45809,2025-06-01 00:00:00.000,"Pravin Tripathi(Ambedkar Nagar)","Credit Note","VAS 25-26/CN 28","Sales",9000,"Agst Ref 40 9,000.00 Cr","Being stock return and supply to maurya beej jalalpur."
29,5,45809,2025-06-01 00:00:00.000,"Pravin Tripathi(Ambedkar Nagar)","Credit Note","VAS 25-26/CN 29","Sales",448200,"Agst Ref 40 4,48,800.00 Cr | Agst Ref 446 6,600.00 Cr | Agst Ref 453 15,750.00 Cr | Agst Ref 48 2,02,025.00 Cr | Agst Ref VAS/24-25/157 3,06,000.00 Cr | On Account (-)5,30,975.00 Dr","Being stock return and supply to kisan krishi atroliya.(namo 20 bags transfer to mirzapur)"
30,5,45809,2025-06-01 00:00:00.000,"Pravin Tripathi(Ambedkar Nagar)","Credit Note","VAS 25-26/CN 30","Sales",448200,"Agst Ref 40 4,48,800.00 Cr | On Account (-)600.00 Dr","Being stock return and supply to Maurya fertilizers."
31,5,45809,2025-06-01 00:00:00.000,"Pravin Tripathi(Ambedkar Nagar)","Credit Note","VAS 25-26/CN 31","Sales",438300,"Agst Ref 373 1,63,350.00 Cr | Agst Ref 40 2,76,150.00 Cr | On Account (-)1,200.00 Dr","Being stock return and supply to new kisan beej lorpur."
32,5,45813,2025-06-05 00:00:00.000,"54100 Singh Khad Beej Bhandar","Credit Note","VAS 25-26/CN 32","Sales",32000,"Agst Ref 31 32,000.00 Cr","Being freight of paddy supply is credtted."
35,6,45815,2025-06-07 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN 35","Sales",8000,"Agst Ref 14 3,000.00 Cr | Agst Ref 265 14-May-24 5,000.00 Cr","Being freight of paddy supply is credited."
36,6,45826,2025-06-18 00:00:00.000,"Maurya Beej Bhandar(Jalalpur)","Credit Note","VAS 25-26/CN 36","Sales",1440,"Agst Ref 347 600.00 Cr | Agst Ref 44 840.00 Cr","Being stock return at ambekar nagar godown(pravin)."
39,6,45831,2025-06-23 00:00:00.000,"51100 Skyfed Farmer Producer Com.Ltd","Credit Note","VAS 25-26/CN 39","Sales",3000,"Agst Ref 14 3,000.00 Cr","Being freight of bajra supply is credited."
40,6,45831,2025-06-23 00:00:00.000,"54100 Singh Khad Beej Bhandar","Credit Note","VAS 25-26/CN 40","Sales",5000,"Agst Ref 31 5,000.00 Cr","Being freight of bajra supply is credited."
41,7,45832,2025-06-24 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN 41","Sales",3200,"Agst Ref 22 3,200.00 Cr","Being freight of stock supply is credited."
42,7,45832,2025-06-24 00:00:00.000,"12300 Maurya Brothers Khad Beej Bhandar","Credit Note","VAS 25-26/CN 42","Sales",300,"Agst Ref 24 300.00 Cr","Being freight of bajra is credited."
43,7,45832,2025-06-24 00:00:00.000,"12100 Om Sai Khad Beej Bhandar","Credit Note","VAS 25-26/CN 43","Sales",1200,"Agst Ref 21 1,200.00 Cr","Being freight of bajra supply is credited."
44,7,45832,2025-06-24 00:00:00.000,"13300 Bajrang Traders","Credit Note","VAS 25-26/ CN 44","Sales",200,"Agst Ref 18 200.00 Cr","Being freight of bajra supply is credited."
58,9,45839,2025-07-01 00:00:00.000,"Swastik Khushi Traders","Credit Note","VAS 25-25/CN 58","Sales",72800,"New Ref VAS 25-25/CN 58 72,800.00 Cr","Being stock return from Paras beej bhandar."
59,9,45840,2025-07-02 00:00:00.000,"Pravin Tripathi(Ambedkar Nagar)","Credit Note","VAS 25-26/CN59","Sales",298200,"Agst Ref 40 3,51,750.00 Cr | On Account (-)53,550.00 Dr","Being stock return and supply to singh khad beej mirzapur."
60,9,45840,2025-07-02 00:00:00.000,"Pravin Tripathi(Ambedkar Nagar)","Credit Note","VAS 25-26/CN60","Sales",88367.7,"New Ref VAS 25-26/CN60 88,367.70 Cr","Being stock return and supply to ravikant jaiswal."
62,10,45846,2025-07-08 00:00:00.000,"Chaudhary Mishra Khad Beej Bhandar","Credit Note","VAS 25-26/CN 62","Sales",8640,"Agst Ref 3 8,640.00 Cr","Being rate difference of maize (288 kg *30) is credited."
63,10,45846,2025-07-08 00:00:00.000,"Chaudhary Mishra Khad Beej Bhandar","Credit Note","VAS 25-26/CN 63","Sales",11200,"Agst Ref 3 11,200.00 Cr","Being farmer complaint for seeds credit amount adjusted."
64,10,45846,2025-07-08 00:00:00.000,"Puthiyabarai Vision Farmer Produer Company","Credit Note","VAS 25-26/CN 64","Sales",1920,"Agst Ref 185 320.00 Cr | Agst Ref 257 1,600.00 Cr","Being rate difference of maize (64 kg *30=1920) is credited."
65,10,45846,2025-07-08 00:00:00.000,"Om Javitri Devi Sahaya","Credit Note","VAS 25-26/CN 65","Sales",1200,"Agst Ref 11 1,200.00 Cr","Being 2 bsgs received by rahul g."
67,10,45849,2025-07-11 00:00:00.000,"Om Javitri Devi Sahaya","Credit Note","VAS 25-26/CN 67","Sales",225000,"Agst Ref 11 95,000.00 Cr | Agst Ref 17 1,30,000.00 Cr","Being stock return at etah godown."
68,10,45855,2025-07-17 00:00:00.000,"13300 Bajrang Traders","Credit Note","VAS 25-26/CN 68","Sales",76800,"Agst Ref 18 76,800.00 Cr","Being stock return at sarvoday godown."
69,11,45855,2025-07-17 00:00:00.000,"13300 Bajrang Traders","Credit Note","VAS 25-26/CN 69","Sales",48000,"Agst Ref 18 20,000.00 Cr | Agst Ref 393 93,301.00 Dr | Agst Ref 4 1,21,301.00 Cr","Being stock return at sarvoday."
70,11,45855,2025-07-17 00:00:00.000,"Swastik Khushi Traders","Credit Note","VAS 25-26/CN 70","Sales",38080,"New Ref 4 6,699.00 Cr | New Ref 75 47,701.00 Cr | Agst Ref 303 6,50,400.00 Cr | Agst Ref 32 13,98,100.00 Cr | On Account (-)20,64,820.00 Dr","Being stock return via paras beej bhandar..at sarvoday godown."
77,12,45870,2025-08-01 00:00:00.000,"54100 Singh Khad Beej Bhandar","Credit Note","VAS 25-26/CN 77","Sales",1918104,"Agst Ref 31 15,12,560.00 Cr | Agst Ref 379 2,33,000.00 Dr | Agst Ref 391 1,67,000.00 Dr | Agst Ref 45 7,90,560.00 Cr | Agst Ref 71 14,984.00 Cr","Being stock return at prayagraj godown."
78,12,45870,2025-08-01 00:00:00.000,"Kisan Krishi Sewa Kendra(Atroliya)","Credit Note","VAS 25-26/CN 78","Sales",257250,"Agst Ref 22 50,395.00 Dr | Agst Ref 262 28,342.00 Cr | Agst Ref 28 54,135.00 Cr | On Account 2,25,168.00 Cr","Being stock return at Kaushambi godown."
79,12,45870,2025-08-01 00:00:00.000,"Kisan Krishi Sewa Kendra(Atroliya)","Credit Note","VAS 25-26/CN 79","Sales",5016,"Agst Ref 363 5,016.00 Cr","Being rate difference of paddy( Namo 33 kg*40=1320/ Adiyogi 132 kg*28 =3696 ) is credited."
80,13,45879,2025-08-10 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN 80","Sales",1530225,"Agst Ref 22 4,32,200.00 Cr | Agst Ref 23 2,82,000.00 Cr | Agst Ref 379 20-Feb-25 2,33,000.00 Cr | Agst Ref 391 4-Mar-25 1,67,000.00 Cr | Agst Ref 72 4,16,025.00 Cr","Being stock return at etah godown."
81,13,45881,2025-08-12 00:00:00.000,"12300 Maurya Brothers Khad Beej Bhandar","Credit Note","VAS 25-26/CN 81","Sales",300150,"Agst Ref 24 2,90,500.00 Cr | Agst Ref 77 9,650.00 Cr","Being stock return at etah godown."
82,13,45893,2025-08-24 00:00:00.000,"12100 Om Sai Khad Beej Bhandar","Credit Note","VAS 25-26/CN 82","Sales",293625,"Agst Ref 21 68,800.00 Cr | Agst Ref 392 2,24,825.00 Cr","Being stock return at etah godown ."
83,13,45896,2025-08-27 00:00:00.000,"11100 Ravindra Agroteck","Credit Note","VAS 25-26/CN 83","Sales",489810,"On Account 4,89,810.00 Cr","Being stock returna at etah godown sarvoday."
91,14,45901,2025-09-01 00:00:00.000,"IFFDC Krishak Sewa Kendra","Credit Note","VAS 25-26/CN 91","Sales",518380,"Agst Ref 15 1,45,745.00 Cr | Agst Ref 63 3,72,635.00 Cr","Being stock return at Kaushambi godown."
92,15,45901,2025-09-01 00:00:00.000,"IFFDC Krishak Sewa Kendra","Credit Note","VAS 25-26/CN 92","Sales",65715,"Agst Ref 63 9,500.00 Cr | Agst Ref 64 54,565.00 Cr | On Account 1,650.00 Cr","Being rate difference/ damage claim /freight amount is credited."
99,16,45901,2025-09-01 00:00:00.000,"53100 Ashok Kumar & Brothers","Credit Note","VAS 25-26/CN 99","Sales",328215,"Agst Ref 16 58,550.00 Cr | Agst Ref 62 2,61,115.00 Cr | On Account 8,550.00 Cr","Being stock return at kaushammbi godown."
100,16,45901,2025-09-01 00:00:00.000,"53100 Ashok Kumar & Brothers","Credit Note","VAS 25-26/CN 100","Sales",5145,"Agst Ref 62 5,145.00 Cr","Being rate difference of paddy is credited."
102,16,45902,2025-09-02 00:00:00.000,"Maurya Fertiliaers( Laudhana)","Credit Note","VAS 25-26/CN 102","Sales",412800,"Agst Ref 362 42,297.00 Cr | Agst Ref 42 3,70,503.00 Cr","Being stock returna at kaushambi godown."
103,16,45902,2025-09-02 00:00:00.000,"Maurya Beej Bhandar(Jalalpur)","Credit Note","VAS 25-26/CN 103","Sales",2400,"Agst Ref 364 2,400.00 Cr","Being stock return at Kaushambi godown."
